sample	target	view	value	p_value	fraction
IU_PDA_T1	KCNMA1	intra	0.0994646746693804	0.130988116082528	0.275635741751993
IU_PDA_T1	KCNMA1	juxta_ct	0.125377962071334	0.014356967278621	0.347446444577011
IU_PDA_T1	KCNMA1	para_ct	0.13601286783632	0.00127078940684111	0.376917813670996
IU_PDA_T10	KCNMA1	intra	0.0411863155713877	0.535885534631666	0.259046655609516
IU_PDA_T10	KCNMA1	juxta_ct	0.0204451123607326	0.724467625830422	0.128592176967824
IU_PDA_T10	KCNMA1	para_ct	0.0973604551110314	0.0349983884279912	0.61236116742266
IU_PDA_T11	KCNMA1	intra	0.486527690232647	2.44249065417534e-15	0.433388716947988
IU_PDA_T11	KCNMA1	juxta_ct	0.216523866269312	0.000165501499457266	0.192874943142914
IU_PDA_T11	KCNMA1	para_ct	0.419561172456179	0	0.373736339909098
IU_PDA_T12	KCNMA1	intra	0.31872299494457	5.68882718710029e-11	0.36850049043232
IU_PDA_T12	KCNMA1	juxta_ct	0.249948252466032	3.93904073581197e-07	0.288984651491658
IU_PDA_T12	KCNMA1	para_ct	0.29624753348613	4.81836792687318e-14	0.342514858076022
IU_PDA_T2	KCNMA1	intra	0.244385694754717	0.000747528092502447	0.599902144838113
IU_PDA_T2	KCNMA1	juxta_ct	0.127057982006596	0.038754166710693	0.311893689199204
IU_PDA_T2	KCNMA1	para_ct	0.0359322542260081	0.35423531711581	0.0882041659626828
IU_PDA_T3	KCNMA1	intra	0.340362863405215	6.31385610461166e-10	0.617574576050404
IU_PDA_T3	KCNMA1	juxta_ct	0.0177479815294365	0.746022929386453	0.0322029908290642
IU_PDA_T3	KCNMA1	para_ct	0.193017515274004	3.37348199996867e-06	0.350222433120531
IU_PDA_T4	KCNMA1	intra	0.237687480885258	5.89890387496794e-05	0.357313240476832
IU_PDA_T4	KCNMA1	juxta_ct	0.0731444669830162	0.161415889100093	0.109957354183365
IU_PDA_T4	KCNMA1	para_ct	0.354375645805181	2.1316282072803e-14	0.532729405339803
IU_PDA_T6	KCNMA1	intra	0.315240922058508	0.00348631428755253	0.393857746927596
IU_PDA_T6	KCNMA1	juxta_ct	0.216878290794921	0.0210211193750955	0.270964804988554
IU_PDA_T6	KCNMA1	para_ct	0.268273630800499	2.64715804831894e-10	0.335177448083849
IU_PDA_T8	KCNMA1	intra	0.296470360736994	0.000845747446161171	0.599452918385758
IU_PDA_T8	KCNMA1	juxta_ct	0.180809749180164	0.00867589929233326	0.365591121990096
IU_PDA_T8	KCNMA1	para_ct	0.0172881066082483	0.707003841756961	0.0349559596241466
IU_PDA_T9	KCNMA1	intra	0.353862771125811	1.13038088667139e-07	0.487895703147288
IU_PDA_T9	KCNMA1	juxta_ct	0.136275806636484	0.0188566938835113	0.18789312108007
IU_PDA_T9	KCNMA1	para_ct	0.235145061431768	1.03371064819058e-07	0.324211175772642
